image_id,source_dataset,rel_path,split,race_labels,gender_labels,age_bin,skin_tone_fitzpatrick,cultural_markers,ambiguous_mixed,prefer_not_to_label,unknown_uncertain,conf_race,conf_gender,conf_skin,annotation_notes,label_method,source_evidence,review_status,annotator_id,timestamp_iso,version_tag
UTK_29_1_1_20170112235043081.jpg.chip,UTKFace,UTKFace/29_1_1_20170112235043081.jpg.chip.jpg,train,Black,Female,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_63241,FairFace,FairFace/train/63241.jpg,train,Black,Male,3-9,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_34_0_2_20170105173426253.jpg.chip,UTKFace,UTKFace/34_0_2_20170105173426253.jpg.chip.jpg,train,EastAsian,Male,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_26_1_3_20170104222740327.jpg.chip,UTKFace,UTKFace/26_1_3_20170104222740327.jpg.chip.jpg,train,SouthAsian,Female,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_26_1_3_20170104223022663.jpg.chip,UTKFace,UTKFace/26_1_3_20170104223022663.jpg.chip.jpg,train,SouthAsian,Female,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_6299,FairFace,FairFace/train/6299.jpg,train,Black,Female,30-39,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_34_0_3_20170109140934624.jpg.chip,UTKFace,UTKFace/34_0_3_20170109140934624.jpg.chip.jpg,train,SouthAsian,Male,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_12807,FairFace,FairFace/train/12807.jpg,train,White,Male,50-59,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_6945,FairFace,FairFace/train/6945.jpg,train,Black,Male,30-39,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_65124,FairFace,FairFace/train/65124.jpg,train,White,Female,30-39,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_6761,FairFace,FairFace/val/6761.jpg,train,Black,Male,20-29,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_14854,FairFace,FairFace/train/14854.jpg,train,White,Male,20-29,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_29_1_1_20170116231920226.jpg.chip,UTKFace,UTKFace/29_1_1_20170116231920226.jpg.chip.jpg,train,Black,Female,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_27_0_0_20170116204136393.jpg.chip,UTKFace,UTKFace/27_0_0_20170116204136393.jpg.chip.jpg,train,White,Male,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_44266,FairFace,FairFace/train/44266.jpg,train,White,Female,20-29,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_66522,FairFace,FairFace/train/66522.jpg,train,White,Female,30-39,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_47318,FairFace,FairFace/train/47318.jpg,train,White,Male,0-2,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_4105,FairFace,FairFace/val/4105.jpg,train,White,Female,50-59,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_68894,FairFace,FairFace/train/68894.jpg,train,White,Male,50-59,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_30682,FairFace,FairFace/train/30682.jpg,train,White,Female,20-29,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_38_1_1_20170112231350830.jpg.chip,UTKFace,UTKFace/38_1_1_20170112231350830.jpg.chip.jpg,train,Black,Female,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_46427,FairFace,FairFace/train/46427.jpg,train,White,Male,50-59,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_84552,FairFace,FairFace/train/84552.jpg,train,White,Male,40-49,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_1_1_2_20161219162730478.jpg.chip,UTKFace,UTKFace/1_1_2_20161219162730478.jpg.chip.jpg,train,EastAsian,Female,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_9834,FairFace,FairFace/val/9834.jpg,train,Black,Male,20-29,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_70540,FairFace,FairFace/train/70540.jpg,train,White,Female,30-39,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_53178,FairFace,FairFace/train/53178.jpg,train,White,Male,20-29,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_29_0_3_20170119195116490.jpg.chip,UTKFace,UTKFace/29_0_3_20170119195116490.jpg.chip.jpg,train,SouthAsian,Male,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_2_0_2_20161219203828132.jpg.chip,UTKFace,UTKFace/2_0_2_20161219203828132.jpg.chip.jpg,train,EastAsian,Male,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_79330,FairFace,FairFace/train/79330.jpg,train,Black,Male,20-29,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_29_0_0_20170117202657886.jpg.chip,UTKFace,UTKFace/29_0_0_20170117202657886.jpg.chip.jpg,train,White,Male,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_57001,FairFace,FairFace/train/57001.jpg,train,White,Female,20-29,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_1_0_3_20161219225808112.jpg.chip,UTKFace,UTKFace/1_0_3_20161219225808112.jpg.chip.jpg,train,SouthAsian,Male,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_30_1_2_20170116163932623.jpg.chip,UTKFace,UTKFace/30_1_2_20170116163932623.jpg.chip.jpg,train,EastAsian,Female,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_26_1_3_20170117174059493.jpg.chip,UTKFace,UTKFace/26_1_3_20170117174059493.jpg.chip.jpg,train,SouthAsian,Female,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_20_1_0_20170109214040024.jpg.chip,UTKFace,UTKFace/20_1_0_20170109214040024.jpg.chip.jpg,train,White,Female,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_75188,FairFace,FairFace/train/75188.jpg,train,White,Male,30-39,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_35_0_3_20170119200930924.jpg.chip,UTKFace,UTKFace/35_0_3_20170119200930924.jpg.chip.jpg,train,SouthAsian,Male,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_3667,FairFace,FairFace/train/3667.jpg,train,White,Female,50-59,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_82254,FairFace,FairFace/train/82254.jpg,train,Black,Female,30-39,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_23007,FairFace,FairFace/train/23007.jpg,train,White,Male,20-29,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_20_1_3_20170104222019511.jpg.chip,UTKFace,UTKFace/20_1_3_20170104222019511.jpg.chip.jpg,train,SouthAsian,Female,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_40_0_3_20170119204129150.jpg.chip,UTKFace,UTKFace/40_0_3_20170119204129150.jpg.chip.jpg,train,SouthAsian,Male,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_16_1_3_20170104222158160.jpg.chip,UTKFace,UTKFace/16_1_3_20170104222158160.jpg.chip.jpg,train,SouthAsian,Female,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_16664,FairFace,FairFace/train/16664.jpg,train,White,Female,50-59,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_8516,FairFace,FairFace/train/8516.jpg,train,Black,Male,20-29,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_76092,FairFace,FairFace/train/76092.jpg,train,White,Female,20-29,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_47_1_3_20170119200858036.jpg.chip,UTKFace,UTKFace/47_1_3_20170119200858036.jpg.chip.jpg,train,SouthAsian,Female,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_25302,FairFace,FairFace/train/25302.jpg,train,White,Female,20-29,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_70368,FairFace,FairFace/train/70368.jpg,train,White,Male,20-29,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_67489,FairFace,FairFace/train/67489.jpg,train,Black,Male,50-59,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_4508,FairFace,FairFace/train/4508.jpg,train,White,Female,30-39,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_16829,FairFace,FairFace/train/16829.jpg,train,Black,Female,30-39,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_65_0_3_20170119203933382.jpg.chip,UTKFace,UTKFace/65_0_3_20170119203933382.jpg.chip.jpg,train,SouthAsian,Male,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_35_1_0_20170117191606659.jpg.chip,UTKFace,UTKFace/35_1_0_20170117191606659.jpg.chip.jpg,train,White,Female,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_84978,FairFace,FairFace/train/84978.jpg,train,White,Male,40-49,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_3257,FairFace,FairFace/val/3257.jpg,train,White,Female,20-29,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_1_1_2_20161219194839971.jpg.chip,UTKFace,UTKFace/1_1_2_20161219194839971.jpg.chip.jpg,train,EastAsian,Female,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_1149,FairFace,FairFace/train/1149.jpg,train,Black,Male,3-9,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_1_0_2_20161219205836181.jpg.chip,UTKFace,UTKFace/1_0_2_20161219205836181.jpg.chip.jpg,train,EastAsian,Male,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_41870,FairFace,FairFace/train/41870.jpg,train,White,Female,30-39,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_1190,FairFace,FairFace/val/1190.jpg,train,Black,Female,10-19,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_42635,FairFace,FairFace/train/42635.jpg,train,Black,Female,30-39,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_9734,FairFace,FairFace/val/9734.jpg,train,White,Female,10-19,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_85787,FairFace,FairFace/train/85787.jpg,train,Black,Female,3-9,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_15607,FairFace,FairFace/train/15607.jpg,train,White,Male,20-29,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_74489,FairFace,FairFace/train/74489.jpg,train,Black,Female,3-9,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_32_1_1_20170117140855418.jpg.chip,UTKFace,UTKFace/32_1_1_20170117140855418.jpg.chip.jpg,train,Black,Female,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_2_1_2_20161219155720461.jpg.chip,UTKFace,UTKFace/2_1_2_20161219155720461.jpg.chip.jpg,train,EastAsian,Female,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_4889,FairFace,FairFace/val/4889.jpg,train,White,Female,20-29,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_37456,FairFace,FairFace/train/37456.jpg,train,Black,Male,3-9,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_22_1_2_20170104020035915.jpg.chip,UTKFace,UTKFace/22_1_2_20170104020035915.jpg.chip.jpg,train,EastAsian,Female,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_52437,FairFace,FairFace/train/52437.jpg,train,Black,Female,30-39,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_57849,FairFace,FairFace/train/57849.jpg,train,White,Male,20-29,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_34696,FairFace,FairFace/train/34696.jpg,train,White,Male,20-29,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_9117,FairFace,FairFace/train/9117.jpg,train,Black,Female,30-39,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_24_1_2_20170116172739067.jpg.chip,UTKFace,UTKFace/24_1_2_20170116172739067.jpg.chip.jpg,train,EastAsian,Female,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_18666,FairFace,FairFace/train/18666.jpg,train,White,Male,3-9,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_5275,FairFace,FairFace/train/5275.jpg,train,White,Male,40-49,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_7508,FairFace,FairFace/train/7508.jpg,train,White,Female,30-39,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_83_0_0_20170120225615281.jpg.chip,UTKFace,UTKFace/83_0_0_20170120225615281.jpg.chip.jpg,train,White,Male,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_28172,FairFace,FairFace/train/28172.jpg,train,Black,Female,20-29,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_56082,FairFace,FairFace/train/56082.jpg,train,Black,Male,50-59,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_44954,FairFace,FairFace/train/44954.jpg,train,Black,Male,10-19,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_26_1_3_20170119193143376.jpg.chip,UTKFace,UTKFace/26_1_3_20170119193143376.jpg.chip.jpg,train,SouthAsian,Female,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_4_0_2_20161219154925917.jpg.chip,UTKFace,UTKFace/4_0_2_20161219154925917.jpg.chip.jpg,train,EastAsian,Male,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_34_0_3_20170119200815948.jpg.chip,UTKFace,UTKFace/34_0_3_20170119200815948.jpg.chip.jpg,train,SouthAsian,Male,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_30438,FairFace,FairFace/train/30438.jpg,train,White,Male,10-19,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_47_0_3_20170116184916978.jpg.chip,UTKFace,UTKFace/47_0_3_20170116184916978.jpg.chip.jpg,train,SouthAsian,Male,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_26_1_2_20170116175505151.jpg.chip,UTKFace,UTKFace/26_1_2_20170116175505151.jpg.chip.jpg,train,EastAsian,Female,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_7_1_3_20161220221712842.jpg.chip,UTKFace,UTKFace/7_1_3_20161220221712842.jpg.chip.jpg,train,SouthAsian,Female,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_2126,FairFace,FairFace/train/2126.jpg,train,White,Male,20-29,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_33083,FairFace,FairFace/train/33083.jpg,train,Black,Male,40-49,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_40444,FairFace,FairFace/train/40444.jpg,train,Black,Male,30-39,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_30_1_2_20170116165039591.jpg.chip,UTKFace,UTKFace/30_1_2_20170116165039591.jpg.chip.jpg,train,EastAsian,Female,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_34_1_3_20170104235537715.jpg.chip,UTKFace,UTKFace/34_1_3_20170104235537715.jpg.chip.jpg,train,SouthAsian,Female,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_39_0_1_20170116010441172.jpg.chip,UTKFace,UTKFace/39_0_1_20170116010441172.jpg.chip.jpg,train,Black,Male,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_69552,FairFace,FairFace/train/69552.jpg,train,White,Female,40-49,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
FF_79782,FairFace,FairFace/train/79782.jpg,train,Black,Male,20-29,,,False,False,False,0.7,0.7,,,heuristic,fairface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
UTK_25_0_3_20170119163012781.jpg.chip,UTKFace,UTKFace/25_0_3_20170119163012781.jpg.chip.jpg,train,SouthAsian,Male,unknown,,,False,False,False,0.7,0.7,,,heuristic,utkface_csv,todo,,2025-11-08T17:00:35Z,v3_scaffold_2025-11-08
