image_id,rel_path,source_dataset,race_cat,gender_cat,age_cat,split,cultural_markers,ambiguous_mixed,prefer_not_to_label,unknown_uncertain,conf_race,conf_gender,conf_skin,annotation_notes
UTK_34_0_2_20170105173426253.jpg.chip,UTKFace/34_0_2_20170105173426253.jpg.chip.jpg,UTKFace,EastAsian,Male,,train,,1,,,low,high,medium,
UTK_50_0_2_20170117000150652.jpg.chip,UTKFace/50_0_2_20170117000150652.jpg.chip.jpg,UTKFace,EastAsian,Male,,train,,1,,,medium,high,medium,
UTK_1_0_2_20161219200004228.jpg.chip,UTKFace/1_0_2_20161219200004228.jpg.chip.jpg,UTKFace,EastAsian,Male,,train,,1,1,,medium,low,medium,
UTK_23_0_2_20170116172856091.jpg.chip,UTKFace/23_0_2_20170116172856091.jpg.chip.jpg,UTKFace,EastAsian,Male,,val,,1,,,low,high,medium,
UTK_54_0_2_20170120223248924.jpg.chip,UTKFace/54_0_2_20170120223248924.jpg.chip.jpg,UTKFace,EastAsian,Male,,train,,1,,,low,high,medium,
UTK_2_0_2_20161219211219902.jpg.chip,UTKFace/2_0_2_20161219211219902.jpg.chip.jpg,UTKFace,EastAsian,Male,,test,,,,1,low,low,medium,
UTK_55_0_2_20170104023159589.jpg.chip,UTKFace/55_0_2_20170104023159589.jpg.chip.jpg,UTKFace,EastAsian,Male,,train,,1,,,medium,high,medium,
UTK_3_1_2_20161219160306229.jpg.chip,UTKFace/3_1_2_20161219160306229.jpg.chip.jpg,UTKFace,EastAsian,Female,,train,,1,,,low,low,low,
UTK_28_1_2_20170116165133825.jpg.chip,UTKFace/28_1_2_20170116165133825.jpg.chip.jpg,UTKFace,EastAsian,Female,,train,,1,,,medium,high,medium,
UTK_18_1_2_20170109213146944.jpg.chip,UTKFace/18_1_2_20170109213146944.jpg.chip.jpg,UTKFace,EastAsian,Female,,train,,1,,,medium,high,medium,
UTK_2_1_2_20161219155720461.jpg.chip,UTKFace/2_1_2_20161219155720461.jpg.chip.jpg,UTKFace,EastAsian,Female,,train,,,,1,low,low,low,
UTK_26_1_2_20170116233134701.jpg.chip,UTKFace/26_1_2_20170116233134701.jpg.chip.jpg,UTKFace,EastAsian,Female,,val,,1,,,low,low,low,
UTK_26_1_2_20170116184059994.jpg.chip,UTKFace/26_1_2_20170116184059994.jpg.chip.jpg,UTKFace,EastAsian,Female,,train,,1,,,medium,high,medium,
UTK_26_1_2_20170116184530259.jpg.chip,UTKFace/26_1_2_20170116184530259.jpg.chip.jpg,UTKFace,EastAsian,Female,,train,,1,,,low,high,medium,
UTK_27_1_2_20170104022251917.jpg.chip,UTKFace/27_1_2_20170104022251917.jpg.chip.jpg,UTKFace,EastAsian,Female,,train,,,,,low,high,medium,
FF_69552,FairFace/train/69552.jpg,FairFace,White,Female,40-49,train,,1,,1,medium,high,medium,
FF_69100,FairFace/train/69100.jpg,FairFace,White,Female,20-29,train,1,,,,medium,high,medium,
FF_49658,FairFace/train/49658.jpg,FairFace,White,Female,30-39,train,,1,,1,low,high,high,
FF_8640,FairFace/val/8640.jpg,FairFace,White,Female,50-59,val,,1,,1,low,high,medium,
FF_4105,FairFace/val/4105.jpg,FairFace,White,Female,50-59,train,,,,1,low,high,low,
FF_3214,FairFace/val/3214.jpg,FairFace,White,Female,20-29,train,,,,,medium,high,high,
FF_24229,FairFace/train/24229.jpg,FairFace,White,Female,10-19,train,1,,,,medium,high,low,
FF_26716,FairFace/train/26716.jpg,FairFace,White,Female,20-29,test,,,,1,medium,high,medium,
FF_59305,FairFace/train/59305.jpg,FairFace,White,Female,40-49,train,,1,,1,low,low,medium,
FF_1236,FairFace/val/1236.jpg,FairFace,White,Female,40-49,train,,1,,,low,high,medium,
FF_64717,FairFace/train/64717.jpg,FairFace,White,Female,10-19,train,,,,,low,high,high,
FF_37709,FairFace/train/37709.jpg,FairFace,White,Female,40-49,test,,,,,low,high,medium,
FF_76092,FairFace/train/76092.jpg,FairFace,White,Female,20-29,train,,1,,,medium,high,medium,
FF_9895,FairFace/val/9895.jpg,FairFace,Black,Male,30-39,train,,1,,1,low,medium,low,
FF_76039,FairFace/train/76039.jpg,FairFace,Black,Male,20-29,train,,1,,,medium,high,medium,
FF_27656,FairFace/train/27656.jpg,FairFace,Black,Male,30-39,train,,,,1,low,low,low,
FF_61433,FairFace/train/61433.jpg,FairFace,Black,Male,3-9,train,,,,,high,medium,medium,
FF_21776,FairFace/train/21776.jpg,FairFace,Black,Male,3-9,test,,,,,high,high,medium,
FF_4098,FairFace/train/4098.jpg,FairFace,Black,Male,50-59,train,,1,,,medium,high,low,
FF_12550,FairFace/train/12550.jpg,FairFace,Black,Male,40-49,train,,1,,,medium,high,medium,
FF_53308,FairFace/train/53308.jpg,FairFace,Black,Male,10-19,val,,,,1,low,high,low,
FF_50938,FairFace/train/50938.jpg,FairFace,Black,Male,0-2,train,,,,1,low,low,medium,
FF_41044,FairFace/train/41044.jpg,FairFace,Black,Male,10-19,train,,,,,medium,medium,medium,
FF_14608,FairFace/train/14608.jpg,FairFace,Black,Male,50-59,val,,,,1,low,medium,low,
FF_80779,FairFace/train/80779.jpg,FairFace,Black,Male,more than 70,train,1,,,,medium,medium,medium,
FF_42588,FairFace/train/42588.jpg,FairFace,Black,Male,40-49,train,,1,,,medium,high,medium,
FF_6945,FairFace/train/6945.jpg,FairFace,Black,Male,30-39,train,1,,,,medium,high,high,
UTK_26_1_3_20170119144411037.jpg.chip,UTKFace/26_1_3_20170119144411037.jpg.chip.jpg,UTKFace,SouthAsian,Female,,val,1,1,,,medium,high,medium,
UTK_56_1_3_20170109141207996.jpg.chip,UTKFace/56_1_3_20170109141207996.jpg.chip.jpg,UTKFace,SouthAsian,Female,,test,1,1,,,medium,high,medium,
UTK_33_1_3_20170119200543308.jpg.chip,UTKFace/33_1_3_20170119200543308.jpg.chip.jpg,UTKFace,SouthAsian,Female,,train,,,,1,low,high,low,
UTK_31_1_3_20170104222647935.jpg.chip,UTKFace/31_1_3_20170104222647935.jpg.chip.jpg,UTKFace,SouthAsian,Female,,train,,1,,,medium,high,high,
UTK_20_1_3_20170104222019511.jpg.chip,UTKFace/20_1_3_20170104222019511.jpg.chip.jpg,UTKFace,SouthAsian,Female,,train,1,1,,,medium,high,medium,
UTK_54_1_3_20170109140625083.jpg.chip,UTKFace/54_1_3_20170109140625083.jpg.chip.jpg,UTKFace,SouthAsian,Female,,test,1,1,,,low,medium,high,
UTK_36_1_3_20170109141235854.jpg.chip,UTKFace/36_1_3_20170109141235854.jpg.chip.jpg,UTKFace,SouthAsian,Female,,train,1,1,,,medium,high,medium,
FF_32732,FairFace/train/32732.jpg,FairFace,Black,Female,20-29,train,,1,,,medium,medium,medium,
FF_18565,FairFace/train/18565.jpg,FairFace,Black,Female,40-49,val,,1,,,high,medium,high,
FF_16829,FairFace/train/16829.jpg,FairFace,Black,Female,30-39,train,1,1,,,low,high,high,
FF_6011,FairFace/val/6011.jpg,FairFace,Black,Female,30-39,train,,,,,medium,high,high,
FF_58080,FairFace/train/58080.jpg,FairFace,Black,Female,20-29,train,,,,1,medium,high,low,
FF_63738,FairFace/train/63738.jpg,FairFace,Black,Female,50-59,test,,,,1,medium,low,low,
FF_73607,FairFace/train/73607.jpg,FairFace,Black,Female,10-19,train,,1,,1,low,low,low,
FF_9117,FairFace/train/9117.jpg,FairFace,Black,Female,30-39,train,,1,,,medium,high,medium,
FF_20456,FairFace/train/20456.jpg,FairFace,Black,Female,20-29,val,,1,,,low,high,low,
FF_4141,FairFace/train/4141.jpg,FairFace,Black,Female,20-29,train,1,1,,,medium,high,medium,
FF_77894,FairFace/train/77894.jpg,FairFace,Black,Female,40-49,train,,,,,medium,high,medium,
FF_79332,FairFace/train/79332.jpg,FairFace,Black,Female,3-9,test,,1,,1,medium,high,low,
FF_28172,FairFace/train/28172.jpg,FairFace,Black,Female,20-29,train,,1,,1,medium,medium,medium,
UTK_47_1_1_20170116160640036.jpg.chip,UTKFace/47_1_1_20170116160640036.jpg.chip.jpg,UTKFace,Black,Female,,train,1,1,,,high,low,medium,
UTK_45_1_1_20170116233320931.jpg.chip,UTKFace/45_1_1_20170116233320931.jpg.chip.jpg,UTKFace,Black,Female,,train,,1,,1,low,low,medium,
UTK_28_1_1_20170112231943575.jpg.chip,UTKFace/28_1_1_20170112231943575.jpg.chip.jpg,UTKFace,Black,Female,,train,,1,,,medium,high,high,
